Name,CR,Size,HP,AC,Base Speed,Fly Speed,Burrow Speed,Swim Speed,Climb Speed,Number of Skills,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Saving Throw Bonus,Passive Perception,"Truesight (0 if none, else range in ft.)","Darkvision (0 if none, else range in ft.)","Blindsight (0 if none, else range in ft.)","Tremorsense (0 if none, else range in ft.)",Number Of Passive Abilities,Number of Actions,Max. Attack Bonus,Max. Damage Roll,Spellcasting,Number of Spells Known,Max. Spell Level,Spell Save DC,Spoken Languages,"Telepathy (0 if none, else range in ft.)",Number of Legendary Actions,Number of Legendary Saves,Weaknesses,Damage Immunities,Number of Immunities,Resistances,Number of Resistances,Condition Immunities
Pigeon,0,Tiny,2,11,10,40,0,0,0,0,3,12,10,2,10,7,None,0,10,0,0,0,0,1,0,0,0,No,0,0,0,None,0,0,0,None,,0,,0,None
Rabbit,0,Tiny,1,12,50,0,0,0,0,2,2,14,8,2,13,9,None,0,10,0,0,0,0,2,1,2,1,No,0,0,0,None,0,0,0,None,,0,,0,None
Sea Leopard,4,Large,34,12,15,0,0,60,0,2,18,15,16,2,14,10,None,0,14,0,0,0,0,2,1,6,20,No,0,0,0,None,0,0,0,None,,0,,0,None
Sea Turtle,3,Medium,26,16,10,0,0,40,0,0,16,6,15,2,12,6,None,0,11,0,0,0,0,2,1,5,7,No,0,0,0,None,0,0,0,None,,0,,0,None
Seal,2,Medium,13,12,15,0,0,50,0,1,12,15,14,2,12,10,None,0,13,0,0,0,0,1,1,4,6,No,0,0,0,None,0,0,0,None,,0,,0,None
Snapping Turtle,2,Small,11,14,15,0,0,30,0,0,14,10,14,2,12,6,None,0,11,0,0,0,0,2,1,4,10,No,0,0,0,None,0,0,0,None,,0,,0,None
Sperm Whale,11,Gargantuan,201,15,0,0,0,50,0,1,25,8,20,2,14,8,None,0,15,0,0,120,0,3,1,10,39,No,0,0,0,None,0,0,0,None,,0,,0,None
Squirrel,0,Tiny,1,13,40,0,0,0,40,1,2,16,8,2,11,7,None,0,10,0,0,0,0,1,1,0,1,No,0,0,0,None,0,0,0,None,,0,,0,None
Swarm of Blood Ravens,3,Medium,24,12,10,40,0,0,0,1,6,14,8,3,12,6,None,0,13,0,0,0,0,2,1,4,24,No,0,0,0,None,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed"
Swarm of Corpseflies,3,Medium,27,12,20,40,0,0,0,1,2,15,10,1,10,3,None,0,12,0,60,0,0,2,1,4,24,No,0,0,0,None,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Swarm fo Giant Maggots,3,Medium,49,8,5,0,0,0,0,0,2,6,12,1,10,2,None,0,10,0,0,0,60,2,1,3,12,No,0,0,0,None,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Swarm of Squirrels,2,Medium,24,13,40,0,0,0,40,1,2,16,8,2,11,7,None,0,10,0,0,0,0,2,1,5,12,No,0,0,0,None,0,0,0,None,,0,BPS,1,"Charmed, Frightened, Paralyzed, Petrified, Prone, Restrained, Stunned"
Tortoise,0,Tiny,3,12,10,0,0,0,0,0,3,6,12,2,12,6,None,0,11,0,0,0,0,1,1,0,1,No,0,0,0,None,0,0,0,None,,0,,0,None
Turtle,0,Tiny,3,12,10,0,0,30,0,0,2,7,12,2,12,6,None,0,11,0,0,0,0,2,1,0,1,No,0,0,0,None,0,0,0,None,,0,,0,None
Yeth Jackal,4,Medium,33,14,50,50,0,0,0,2,12,18,13,5,12,7,None,0,13,0,60,0,0,3,2,0,22,No,0,0,0,None,0,0,0,None,,0,,0,"Charmed, Exhaustion, Frightened"
Bonespur (Column Form),5,Large,30,13,10,0,0,0,0,0,18,12,15,6,11,10,None,0,10,0,60,0,0,2,1,6,16,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Bonespur (Charger Form),5,Large,30,13,40,0,0,0,0,0,18,12,15,6,11,10,None,0,10,0,60,0,0,2,1,6,16,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Serpentir,6,Large,60,15,50,0,0,0,20,0,18,20,15,6,16,11,None,0,13,0,60,0,0,4,2,7,11,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned, Prone"
Skeleton Beast (Small),2,Small,16,12,40,0,0,0,0,0,14,14,15,6,8,5,None,0,9,0,60,0,0,0,1,4,6,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Beast (Medium),3,Medium,26,13,40,0,0,0,0,0,16,12,15,6,8,5,None,0,9,0,60,0,0,0,1,5,11,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Beast (Large),5,Large,47,14,40,0,0,0,0,0,20,12,15,6,8,5,None,0,9,0,60,0,0,0,5,7,29,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Beastfolk (Small),2,Small,11,13,30,0,0,0,0,0,12,14,15,6,8,5,None,0,9,0,60,0,0,0,1,4,8,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Beastfolk (Medium),3,Medium,19,14,30,0,0,0,0,0,15,14,15,6,8,5,None,0,9,0,60,0,0,0,5,4,10,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Beastfolk (Large),5,Large,30,14,40,0,0,0,0,0,19,12,15,6,8,5,None,0,9,0,60,0,0,0,5,6,28,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Charger (Medium),2,Medium,13,12,40,0,0,0,0,0,13,12,15,2,8,5,None,0,9,0,60,0,0,1,1,3,7,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Charger (Large),4,Large,22,12,45,0,0,0,0,0,16,11,15,2,8,5,None,0,9,0,60,0,0,2,2,5,19,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Charger (Huge),5,Huge,34,13,45,0,0,0,0,0,20,10,15,2,8,5,None,0,9,0,60,0,0,2,2,7,29,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Dragon (Tiny),1,Tiny,4,12,30,0,0,0,0,0,11,14,15,6,8,5,None,0,9,0,60,0,0,0,2,4,6,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Dragon (Small),2,Small,11,13,30,0,0,0,0,0,13,14,15,6,8,5,None,0,9,0,60,0,0,0,1,4,8,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Dragon (Medium),3,Medium,26,13,30,0,30,0,0,0,14,12,15,6,8,5,None,0,9,0,60,0,0,0,1,4,10,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Dragon (Large),7,Large,97,15,40,0,30,0,0,0,18,11,15,6,8,5,None,0,9,0,60,0,0,0,3,6,20,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Dragon (Huge),10,Huge,127,16,40,0,40,0,0,0,22,11,15,6,8,5,None,0,9,0,60,0,0,0,4,9,22,No,0,0,0,None,0,1,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Dragon (Gargantuan),14,Gargantuan,212,18,40,0,40,0,0,0,26,11,15,6,8,5,None,0,9,0,60,0,0,0,6,12,38,No,0,0,0,None,0,1,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Humanoid (Small),1,Small,5,13,30,0,0,0,0,0,10,14,15,6,8,5,None,0,9,0,60,0,0,0,2,4,6,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Humanoid (Large),5,Large,52,12,30,0,0,0,0,0,18,10,15,6,8,5,None,0,9,0,60,0,0,0,2,6,20,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Skeleton Humanoid (Huge),8,Huge,93,14,40,0,0,0,0,0,22,10,15,6,8,5,None,0,9,0,60,0,0,0,3,8,36,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Tomb Guardian Skeleton,7,Medium,78,16,30,0,0,0,0,1,14,22,15,6,8,5,None,0,15,0,60,0,0,2,2,8,20,No,0,0,0,None,0,0,0,Bludgeoning,Poison,1,,0,"Exhaustion, Poisoned"
Zombie Beast (Small),2,Small,26,9,30,0,0,0,0,0,12,8,16,2,6,5,None,0,8,0,60,0,0,1,1,3,5,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Beast (Medium),3,Medium,37,9,30,0,0,0,0,0,17,6,16,2,6,5,None,0,8,0,60,0,0,1,1,5,9,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Beast (Large),5,Large,51,9,30,0,0,0,0,0,20,6,16,2,6,5,None,0,8,0,60,0,0,1,3,7,21,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Beastfolk (Small),2,Small,19,10,20,0,0,0,0,0,12,8,16,3,6,5,None,0,8,0,60,0,0,1,1,3,7,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Beastfolk (Medium),2,Medium,30,9,20,0,0,0,0,0,14,6,16,3,6,5,None,0,8,0,60,0,0,1,3,4,10,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Beastfolk (Large),5,Large,47,10,30,0,0,0,0,0,19,6,18,3,6,5,None,0,8,0,60,0,0,1,3,6,20,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Charger (Medium),2,Medium,22,8,30,0,0,0,0,0,15,6,16,2,6,5,None,0,8,0,60,0,0,2,1,4,8,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Charger (Large),5,Large,34,9,35,0,0,0,0,0,19,6,16,2,6,5,None,0,8,0,60,0,0,3,2,6,20,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Charger (Huge),7,Huge,52,11,35,0,0,0,0,0,23,6,18,2,6,5,None,0,8,0,60,0,0,3,2,7,29,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Dragon (Tiny),1,Tiny,11,10,20,20,0,0,0,0,12,10,16,3,6,5,None,0,8,0,60,0,0,1,2,3,5,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Dragon (Small),2,Small,19,11,20,20,0,0,0,0,13,10,16,3,6,5,None,0,8,0,60,0,0,1,1,3,9,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Dragon (Medium),5,Medium,45,12,20,20,20,0,0,0,16,8,16,3,8,5,None,0,9,0,60,0,0,1,1,5,13,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Dragon (Large),10,Large,142,15,30,40,20,0,0,0,20,6,18,3,8,5,None,0,9,0,60,0,0,1,4,8,25,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Dragon (Huge),15,Huge,207,16,30,40,30,0,0,0,26,6,20,3,8,5,None,0,9,0,60,0,0,1,5,12,28,No,0,0,0,None,0,1,0,None,Poison,1,,0,Poisoned
Zombie Dragon (Gargantuan),20,Gargantuan,341,19,30,40,0,0,0,0,30,11,20,3,8,5,None,0,9,0,60,0,0,1,6,14,46,No,0,0,0,None,0,1,0,None,Poison,1,,0,Poisoned
Zombie Humanoid (Small),2,Small,13,9,20,0,0,0,0,0,12,8,16,3,6,5,None,0,8,0,60,0,0,1,1,3,7,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Zombie Humanoid (Huge),9,Huge,161,10,30,0,0,0,0,0,24,6,20,3,6,5,None,0,8,0,60,0,0,1,2,10,36,No,0,0,0,None,0,0,0,None,Poison,1,,0,Poisoned
Nascent Air Elemental,4,Small,27,13,0,50,0,0,0,0,12,16,12,3,10,6,None,0,10,0,60,0,0,1,2,5,11,No,0,0,0,Auran,0,0,0,None,Poison,1,"Lightning, Thunder, BPS From Nonmagical Attacks",3,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Nascent Earth Elemental,4,Small,39,14,30,0,30,0,0,0,16,10,16,2,10,5,None,0,10,0,60,0,60,2,1,5,11,No,0,0,0,Terran,0,0,0,Thunder,Poison,1,BPS From Nonmagical Attacks,1,"Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious"
Nascent Fire Elemental,4,Small,33,12,35,0,0,0,0,0,10,15,14,3,10,7,None,0,10,0,60,0,0,3,1,4,8,No,0,0,0,Ignan,0,0,0,None,"Fire, Poison",2,BPS From Nonmagical Attacks,1,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Nascent Water Elemental,4,Small,33,13,30,0,0,50,0,0,15,14,15,3,10,6,None,0,10,0,60,0,0,2,2,5,11,No,0,0,0,Aquan,0,0,0,None,Poison,1,"Acid, BPS From Nonmagical Attacks",2,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Young Air Elemental,6,Medium,49,14,0,70,0,0,0,0,14,18,13,5,10,6,None,0,10,0,60,0,0,1,3,6,12,No,0,0,0,Auran,0,0,0,None,Poison,1,"Lightning, Thunder, BPS From Nonmagical Attacks",3,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Young Earth Elemental,6,Medium,76,15,30,0,30,0,0,0,18,9,18,4,10,5,None,0,10,0,60,0,60,2,2,6,12,No,0,0,0,Terran,0,0,0,Thunder,Poison,1,BPS From Nonmagical Attacks,1,"Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious"
Young Fire Elemental,6,Medium,58,13,40,0,0,0,0,0,10,16,15,5,19,7,None,9,10,0,60,0,0,3,2,5,9,No,0,0,0,Ignan,0,0,0,None,"Fire, Poison",2,BPS From Nonmagical Attacks,1,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Young Water Elemental,6,Medium,67,13,30,0,0,70,0,0,16,14,16,4,10,6,None,0,10,0,60,0,0,2,3,5,11,No,0,0,0,Aquan,0,0,0,None,Poison,1,"Acid, BPS From Nonmagical Attacks",2,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Elder Air Elemental,12,Huge,119,16,0,90,0,0,0,1,16,22,15,8,12,6,None,0,15,0,90,0,0,1,3,10,30,No,0,0,0,Auran,0,0,0,None,Poison,1,"Lightning, Thunder, BPS From Nonmagical Attacks",3,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Elder Earth Elemental,12,Huge,161,18,40,0,40,0,0,1,22,7,21,7,12,5,None,0,15,0,0,0,0,2,2,10,30,No,0,0,0,Terran,0,0,0,Thunder,Poison,1,BPS From Nonmagical Attacks,1,"Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious"
Elder Fire Elemental,12,Huge,133,15,70,0,0,0,0,1,10,20,17,8,12,7,None,0,15,0,90,0,0,3,2,9,29,No,0,0,0,Ignan,0,0,0,None,"Fire, Poison",2,BPS From Nonmagical Attacks,1,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Elder Water Elemental,12,Huge,147,15,40,0,0,90,0,1,20,16,19,7,12,6,None,0,15,0,90,0,0,2,3,9,36,No,0,0,0,Aquan,0,0,0,None,Poison,1,"Acid, BPS From Nonmagical Attacks",2,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Legendary Air Elemental,20,Gargantuan,216,17,0,100,0,0,0,1,18,24,16,10,14,6,None,0,18,0,120,0,0,2,3,13,39,No,0,0,0,Auran,0,3,3,None,Poison,1,"Lightning, Thunder, BPS From Nonmagical Attacks",3,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Legendary Earth Elemental,20,Gargantuan,264,20,40,0,40,0,0,1,24,6,22,9,14,5,None,0,18,0,120,0,120,3,2,13,39,No,0,0,0,Terran,0,3,3,Thunder,Poison,1,BPS From Nonmagical Attacks,1,"Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious"
Legendary Fire Elemental,20,Gargantuan,232,16,70,0,0,0,0,1,10,22,18,10,14,7,None,0,18,0,120,0,0,4,2,12,30,No,0,0,0,Ignan,0,3,3,None,"Fire, Poison",2,BPS From Nonmagical Attacks,1,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Legendary Water Elemental,20,Gargantuan,248,16,40,0,0,90,0,1,22,16,20,9,14,6,None,0,19,0,120,0,0,3,3,13,38,No,0,0,0,Aquan,0,3,3,None,Poison,1,"Acid, BPS From Nonmagical Attacks",2,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious"
Anton Valchrist,10,Medium,120,13,30,0,0,0,0,3,8,16,16,19,10,14,"Wis, Cha",3,13,0,0,0,0,1,2,6,7,Yes,15,5,15,"Common, Deep Speech, Draconic, Dwarvish, Elvish, Goblin, Infernal",0,0,0,None,,0,"Lightning, Psychic, Thunder",3,"Charmed, Paralyzed"
Xiax Galleborne,11,Medium,136,17,40,0,0,0,0,4,16,17,19,16,13,17,"Con, Wis, Cha",3,14,0,0,0,0,1,5,6,29,Yes,6,4,14,"Common, Deep Speech, Sylvan",0,0,0,None,,0,"Cold, Poison, Psychic",3,"Charmed, Paralyzed"
Tivishta Trikinta,14,Small,130,16,25,0,0,0,0,1,12,12,16,13,20,14,"Dex, Wis, Cha",4,15,0,60,0,0,2,2,5,9,Yes,15,6,17,"Common, Goblin",0,0,0,None,,0,"Cold, Poison, Psychic",3,"Blinded, Charmed, Deafened, Exhaustion, Frightened"
Black Goat Cabalist,6,Medium,84,11,30,0,0,0,0,2,12,13,14,16,12,8,Wis,2,13,0,0,0,0,1,2,3,7,No,0,0,0,"Common, Deep Speech, Goblin, Mharoti",0,0,0,None,,0,"Cold, Poison, Psychic",3,"Charmed, Paralyzed"
Speaker for the Black Goat,9,Medium,97,16,30,0,0,0,0,3,18,12,14,8,12,14,Cha,3,14,0,0,0,0,1,4,7,14,No,0,0,0,"Abyssal, Common, Deep Speech",0,0,0,None,,0,"Cold, Poison, Psychic",3,"Charmed, Paralyzed"
Usi-Ziyad,13,Medium,84,17,30,0,0,0,0,3,8,12,15,10,20,16,"Con, Wis, Cha",4,19,0,60,0,0,4,4,6,10,Yes,32,7,17,"Common, Ignan, Primordial",0,0,0,None,Fire,1,,0,None
Belina,8,Medium,68,15,30,60,0,0,0,3,10,20,18,13,8,18,Dex,3,9,0,60,0,0,4,4,8,19,Yes,8,3,15,"Sylvan, Ignan, Primordial",0,0,0,Cold,Fire,1,,0,None
Burning Rune Cultist,5,Medium,52,14,30,0,0,0,0,0,17,14,14,8,10,12,None,0,10,0,0,0,0,2,3,5,11,No,0,0,0,Common,0,0,0,None,,0,,0,None
Dragonkin Bodyguard,7,Medium,91,14,25,0,0,0,0,1,18,10,14,8,13,12,None,0,13,0,60,0,0,2,3,6,12,No,0,0,0,"Common, Draconic",0,0,0,None,,0,Fire,1,None
Rune Caster,9,Medium,106,12,25,0,0,0,0,1,13,14,18,16,11,6,"Con, Int, Wis",3,16,0,60,0,0,2,2,5,10,Yes,12,4,14,"Common, Draconic, Dwarvish, Goblin",0,0,0,None,,0,,0,None
Burning Oracle,12,Medium,97,16,30,0,0,0,0,2,9,14,14,8,19,11,None,0,18,0,0,0,0,2,5,6,8,Yes,27,55,16,"Abyssal, Common, Primordial",0,0,0,None,,0,Fire,1,None
Speaker to the Darkness,8,Small,135,16,25,0,0,0,0,1,11,16,18,10,9,18,"Dex, Cha",3,12,0,60,0,0,2,6,6,9,No,0,0,0,"Common, Deep Speech, Undercommon",0,0,0,Radiant,,0,,0,Frightened
Lanose,10,Huge,115,15,30,0,0,0,0,0,20,8,20,8,14,11,Con,3,12,0,120,0,0,2,3,8,41,No,0,0,0,"Common, Deep Speech, Undercommon",0,0,0,None,Lightning,1,"Necrotic, Thunder",2,"Charmed, Exhaustion"
"Verpertilo, The Demon Bat",19,Huge,207,20,30,60,0,0,0,0,22,18,20,17,18,21,Con,5,14,120,0,0,0,3,4,11,36,Yes,1,4,18,"Abyssal, Common, Draconic",150,0,0,None,Poison,1,"Cold, Fire, Lightning",3,"Blinded, Charmed, Frightened"
Jasna Veldrik,13,Medium,144,17,30,0,0,0,0,2,17,14,18,16,20,16,Con,4,15,0,60,0,0,6,2,7,19,Yes,15,7,17,"Common, Darakhul, Elvish, Undercommon",0,0,0,None,Poison,1,"Necoritc, BPS From Nonmagical Attacks",2,"Charmed, Exhaustion, Poisoned"
Kasimir Ernis,16,Small,93,15,25,0,0,0,0,0,10,6,14,20,13,15,Con,3,11,0,60,0,0,5,3,8,39,Yes,24,7,18,"Abyssal, Common, Draconic, Dwarvish, Gnomish",0,0,0,None,Poison,1,"Necoritc, BPS From Nonmagical Attacks",2,"Charmed, Exhaustion, Poisoned"
Zadina Valgyt,8,Medium,104,16,30,0,0,0,0,2,11,18,16,14,8,20,None,0,12,0,60,0,0,3,3,7,17,No,0,0,0,"Common, Dwarvish, Elvish, Undercommon",0,0,0,None,,0,,0,Charmed
Procurer,2,Medium,26,14,30,0,0,0,0,0,15,13,14,11,12,13,None,0,11,0,0,0,0,1,2,4,9,No,0,0,0,Common,0,0,0,None,,0,,0,None
Creed Necrophagus,7,Large,52,16,40,0,0,0,0,1,19,12,15,8,9,8,None,0,11,0,0,0,0,1,2,6,28,No,0,0,0,"Common, Draconic, Dwarvish, Elvish, Undercommon",0,0,0,None,,0,,0,None
Ghoulsteed,6,Large,85,13,30,0,0,0,0,1,18,10,16,6,10,6,None,0,12,0,60,0,0,1,2,6,20,No,0,0,0,Common,0,0,0,None,Poison,1,,0,Poisoned
Narn the Crucifier,13,Medium,130,20,30,0,0,0,0,2,20,12,14,8,12,16,"Str, Con, Wis",4,15,0,0,0,0,2,4,9,31,Yes,6,3,15,"Abyssal, Common, Gnoll",0,0,0,None,,0,"Poison, Psychic, Radiant",3,"Charmed, Poisoned"
Gruulok,10,Medium,110,18,30,0,0,0,0,2,16,14,14,8,8,14,"Str, Con, Wis",3,9,0,60,0,0,3,4,7,22,No,0,0,0,Gnoll,0,0,0,None,,0,,0,Charmed
Kolya the Ruined,12,Medium,97,16,30,0,0,0,0,0,12,13,14,12,18,8,Wis,4,18,0,60,0,0,1,4,5,29,Yes,21,6,16,"Abyssal, Common, Gnoll",0,0,0,None,,0,,0,"Charmed, Frightened"
Skerr'esh,11,Medium,150,16,30,0,0,0,0,0,17,8,16,10,16,14,"Dex, Wis, Cha",4,13,0,60,0,0,3,3,6,23,Yes,4,3,15,Gnoll,0,0,0,None,,0,,0,None
Andora Navarre,9,Medium,120,19,30,0,0,0,0,2,15,14,16,10,8,16,None,0,12,0,60,0,0,1,4,5,22,yes,3,3,14,"Common, Elvish",0,0,0,None,,0,,0,None
Gnoll Thug,4,Medium,78,16,30,0,0,0,0,2,16,12,14,9,10,8,None,0,12,0,60,0,0,2,4,5,9,No,0,0,0,"Common, Gnoll",0,0,0,None,,0,,0,None
Dark Squire,5,Medium,101,18,30,0,0,0,0,0,16,12,15,10,12,8,None,0,11,0,0,0,0,1,3,5,11,No,0,0,0,Common,0,0,0,None,,0,,0,None
Doom Speaker,10,Medium,91,18,30,0,0,0,0,2,16,13,14,8,10,16,"Con, Wis, Cha",3,13,0,0,0,0,2,3,6,35,Yes,3,1,14,Common,0,0,0,None,,0,Fire,1,None
Dromdal-Re,16,Medium,91,13,30,0,0,0,0,3,9,16,15,20,15,13,None,0,17,0,0,0,0,4,5,6,9,Yes,21,7,18,"Celestial, Common, Draconic, Elvish, Gnomish, Infernal, Terran",0,0,0,None,,0,,0,None
Agent of the Order,5,Medium,77,18,30,0,0,0,0,2,15,14,12,16,12,10,None,0,13,0,60,0,0,3,4,4,10,No,0,0,0,"Common, Draconic, Dwarvish, Gnoll",0,0,0,None,,0,,0,None
Emerald Apprentice,3,Medium,44,12,30,0,0,0,0,0,10,12,13,15,14,10,None,0,12,0,0,0,0,1,3,2,10,No,0,0,0,"Common, Draconic, Gnoll",0,0,0,None,,0,,0,None
Initiate of the Inner Circle,8,Medium,71,16,30,0,0,0,0,2,8,14,14,18,12,10,None,0,11,0,0,0,0,3,2,2,5,No,0,0,0,"Common, Draconic, Dwarvish, Giant, Gnoll",0,0,0,None,,0,,0,None
Smaragdine Golem,15,Large,189,18,30,0,0,0,0,0,26,11,20,3,11,1,None,0,10,0,60,0,0,4,3,12,32,No,0,0,0,None,0,0,0,None,,0,"Poison, Psychic, BPS From Nonmagical Attacks Not Adamantine",3,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned"
Lord Vermin,13,Small,88,17,30,0,0,0,20,2,10,18,14,14,8,12,Dex,4,13,0,60,0,10,4,3,8,38,No,0,0,0,"Common, Deep Speech, Undercommon",0,0,0,None,,0,Poison,1,Poisoned
Master Kiprak,14,Small,81,16,30,0,0,0,0,3,8,19,12,20,10,8,"Dex, Wis, Cha",4,14,0,60,0,0,3,3,8,48,No,0,0,0,"Abyssal, Common, Draconic, Undercommon",0,0,0,None,,0,"Acid, Cold, Fire, Poison",4,Poisoned
Mognyr Dunestalker,11,Medium,104,17,30,0,0,0,0,1,18,14,14,8,10,10,"Con, Wis, Cha",3,13,0,60,0,0,2,4,7,28,No,0,0,0,"Common, Gnoll",0,0,0,None,,0,Poison,1,Poisoned
Kerrshek,4,Large,44,13,50,0,0,0,0,1,18,14,13,5,13,6,None,0,13,0,60,0,0,3,1,6,16,No,0,0,0,None,0,0,0,None,,0,,0,None
Sister Starkfeather,12,Medium,99,16,30,0,0,0,0,2,10,19,12,10,22,17,"Dex, Con, Wis",4,20,0,60,0,0,2,4,8,10,Yes,20,7,17,"Common, Deep Speech, Tengu, Undercommon",0,0,0,None,,0,,0,None
Zheita the Magicmonger,15,Medium,133,14,30,0,0,0,0,2,10,18,18,12,10,20,"Int, Wis, Cha",4,10,0,60,0,0,3,2,4,8,Yes,24,8,17,"Aklo, Common, Undercommon",0,0,0,None,,0,"Poison, Psychic, Radiant",3,"Charmed, Poisoned"
Tengu Bravo,3,Medium,45,16,30,0,0,0,0,2,15,14,14,8,8,10,None,0,11,0,60,5,0,1,3,4,6,No,0,0,0,"Common, Tengu",0,0,0,None,,0,,0,None
Diversion Expert,3,Small,27,16,30,0,0,0,0,2,8,14,12,16,13,8,None,0,13,0,60,0,0,2,3,4,10,Yes,6,3,13,"Common, Draconic, Tengu",0,0,0,None,,0,,0,None
Roachling Lieutenant,6,Small,82,15,30,0,0,0,0,2,10,16,14,13,8,14,None,0,11,0,60,0,10,2,3,5,9,No,0,0,0,"Common, Draconic",0,0,0,None,,0,,0,None
Nikolai Savitch,14,Medium,170,16,30,0,0,0,0,4,20,18,19,17,8,8,"Con, Wis, Cha",4,13,0,60,0,0,1,4,9,25,No,0,0,0,"Abyssal, Common, Dark Folk, Deep Speech, Draconic, Gnome, Infernal",0,0,0,None,"Cold, Poison",2,BPS From Nonmagical Attacks,1,Poisoned
